<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BSPB;60;20100111;110000;85.5000000;85.5000000;75.6100000;81.5000000;1376
BSPB;60;20100111;120000;81.5000000;83.7800000;81.1800000;83.0000000;816
BSPB;60;20100111;130000;83.7300000;85.5000000;83.7300000;84.5000000;7572
BSPB;60;20100111;140000;84.5000000;85.0000000;84.5000000;85.0000000;7285
BSPB;60;20100111;150000;85.5000000;85.5000000;85.4500000;85.4500000;899
BSPB;60;20100111;160000;85.4500000;85.4500000;84.5100000;85.4000000;63
BSPB;60;20100111;170000;85.3000000;85.4000000;85.3000000;85.4000000;177
BSPB;60;20100111;180000;85.3000000;89.9500000;85.2500000;85.8000000;4040
BSPB;60;20100111;190000;88.4900000;89.9300000;85.7500000;87.3900000;2485
BSPB;60;20100112;110000;87.5000000;87.5000000;87.4800000;87.4800000;194
BSPB;60;20100112;120000;87.2000000;87.6000000;86.5500000;87.0000000;769
BSPB;60;20100112;130000;86.6300000;86.6300000;86.0000000;86.0000000;333
BSPB;60;20100112;140000;85.9900000;86.5000000;85.9900000;86.5000000;775
BSPB;60;20100112;150000;86.9000000;87.5000000;86.6300000;86.6300000;5220
BSPB;60;20100112;160000;86.2600000;86.2600000;81.0000000;83.9600000;551739
BSPB;60;20100112;170000;84.5000000;84.5000000;83.2300000;84.0000000;12783
BSPB;60;20100112;180000;84.0000000;84.0000000;83.2600000;83.5000000;946
BSPB;60;20100112;190000;83.3600000;84.6000000;83.3600000;84.4400000;4605
BSPB;60;20100113;110000;84.4400000;84.8600000;83.0300000;84.8600000;274
BSPB;60;20100113;120000;84.8000000;85.0000000;84.2300000;84.9500000;936
BSPB;60;20100113;130000;84.8000000;84.9400000;84.8000000;84.9400000;31
BSPB;60;20100113;140000;84.2500000;84.5000000;84.2200000;84.5000000;367
BSPB;60;20100113;150000;84.5000000;84.5000000;84.5000000;84.5000000;1822
BSPB;60;20100113;160000;84.9200000;87.0000000;84.9200000;87.0000000;2678
BSPB;60;20100113;170000;87.0000000;87.2500000;86.4100000;87.2500000;2628
BSPB;60;20100113;180000;86.5500000;89.9400000;86.5500000;89.9000000;1451
BSPB;60;20100113;190000;87.0400000;89.8100000;87.0300000;87.0300000;662
BSPB;60;20100114;110000;89.8000000;96.0000000;89.8000000;93.4900000;4318
BSPB;60;20100114;120000;93.4900000;99.4800000;90.0900000;98.8700000;23582
BSPB;60;20100114;130000;98.0000000;98.0000000;95.0300000;98.0000000;3279
BSPB;60;20100114;140000;95.5300000;97.8700000;95.4700000;95.5000000;11346
BSPB;60;20100114;150000;96.9800000;96.9800000;96.2000000;96.2100000;90
BSPB;60;20100114;160000;96.3000000;96.3500000;96.3000000;96.3500000;162
BSPB;60;20100114;170000;96.3500000;96.9000000;94.9400000;94.9400000;4899
BSPB;60;20100114;180000;94.8700000;95.9900000;92.9900000;95.8500000;11555
BSPB;60;20100114;190000;96.0000000;96.0000000;95.0000000;95.0000000;422
BSPB;60;20100115;110000;95.0000000;96.0000000;95.0000000;95.6700000;380
BSPB;60;20100115;120000;96.0000000;96.0500000;95.6800000;96.0000000;4538
BSPB;60;20100115;130000;96.8700000;99.4900000;96.8700000;99.0000000;5196
BSPB;60;20100115;140000;99.0000000;99.4700000;96.0700000;96.0700000;3623
BSPB;60;20100115;150000;96.2300000;96.9400000;96.0000000;96.9400000;3879
BSPB;60;20100115;160000;97.0000000;97.0000000;96.8900000;96.9500000;1873
BSPB;60;20100115;170000;96.2400000;97.8400000;96.2400000;97.2000000;4062
BSPB;60;20100115;180000;97.1400000;97.3600000;95.9200000;97.3600000;11638
BSPB;60;20100115;190000;95.9300000;95.9300000;95.0000000;95.8900000;273
BSPB;60;20100118;110000;98.8900000;98.9000000;95.1600000;98.9000000;5215
BSPB;60;20100118;120000;98.9000000;101.0000000;95.8900000;99.0000000;12108
BSPB;60;20100118;130000;98.4800000;99.0000000;98.4800000;99.0000000;3660
BSPB;60;20100118;140000;98.9900000;101.0000000;98.9900000;101.0000000;2366
BSPB;60;20100118;150000;101.0000000;104.9000000;100.0400000;100.9900000;2698
BSPB;60;20100118;160000;100.9900000;103.9900000;99.2600000;100.5000000;25650
BSPB;60;20100118;170000;100.5000000;100.5000000;100.5000000;100.5000000;10
BSPB;60;20100118;180000;100.9700000;101.9700000;100.0500000;100.0500000;5686
