<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CBOM;60;20150701;110000;3.6270000;3.6300000;3.6260000;3.6290000;612600
CBOM;60;20150701;120000;3.6290000;3.6300000;3.6240000;3.6240000;105200
CBOM;60;20150701;130000;3.6240000;3.6290000;3.6240000;3.6250000;76500
CBOM;60;20150701;140000;3.6250000;3.6290000;3.6250000;3.6250000;47200
CBOM;60;20150701;150000;3.6290000;3.6335000;3.6250000;3.6335000;547900
CBOM;60;20150701;160000;3.6335000;3.6500000;3.6250000;3.6500000;4133300
CBOM;60;20150701;170000;3.6500000;3.6500000;3.6250000;3.6410000;9585400
CBOM;60;20150701;180000;3.6410000;3.6450000;3.6245000;3.6450000;1218600
CBOM;60;20150701;190000;3.6245000;3.7400000;3.6240000;3.6800000;5663800
CBOM;60;20150702;110000;3.8000000;3.8000000;3.6240000;3.6500000;129100
CBOM;60;20150702;120000;3.6500000;3.6500000;3.6400000;3.6500000;196800
CBOM;60;20150702;130000;3.6500000;3.6550000;3.6500000;3.6510000;83300
CBOM;60;20150702;140000;3.6510000;3.6510000;3.6305000;3.6510000;37400
CBOM;60;20150702;150000;3.6290000;3.6290000;3.6290000;3.6290000;0
CBOM;60;20150702;160000;3.6310000;3.6310000;3.6250000;3.6290000;3618100
CBOM;60;20150702;170000;3.6290000;3.6355000;3.6290000;3.6350000;4918800
CBOM;60;20150702;180000;3.6350000;3.6435000;3.6345000;3.6430000;10801100
CBOM;60;20150702;190000;3.6425000;3.6455000;3.6355000;3.6455000;7921800
CBOM;60;20150703;110000;3.7250000;3.7250000;3.6550000;3.6550000;7000
CBOM;60;20150703;120000;3.6480000;3.6480000;3.6475000;3.6480000;4200100
CBOM;60;20150703;130000;3.6480000;3.6485000;3.6480000;3.6485000;2385000
CBOM;60;20150703;140000;3.6485000;3.6510000;3.6485000;3.6510000;1844800
CBOM;60;20150703;150000;3.6505000;3.6505000;3.6500000;3.6505000;10800100
CBOM;60;20150703;160000;3.6320000;3.6320000;3.6320000;3.6320000;0
CBOM;60;20150703;170000;3.6320000;3.6325000;3.6315000;3.6320000;5582600
CBOM;60;20150703;180000;3.6320000;3.6375000;3.6320000;3.6370000;5600400
CBOM;60;20150703;190000;3.6375000;3.6375000;3.6340000;3.6370000;7791200
CBOM;60;20150706;110000;3.6405000;3.6520000;3.6400000;3.6520000;66400
CBOM;60;20150706;120000;3.6520000;3.6520000;3.6500000;3.6510000;293300
CBOM;60;20150706;130000;3.6510000;3.6515000;3.6510000;3.6515000;1941600
CBOM;60;20150706;140000;3.6515000;3.6515000;3.6510000;3.6515000;3715400
CBOM;60;20150706;150000;3.6515000;3.6515000;3.6510000;3.6515000;1744600
CBOM;60;20150706;160000;3.6520000;3.6520000;3.6520000;3.6520000;350000
CBOM;60;20150706;170000;3.6520000;3.6520000;3.6520000;3.6520000;284700
CBOM;60;20150706;180000;3.6700000;3.6700000;3.6700000;3.6700000;0
CBOM;60;20150706;190000;3.6520000;3.6700000;3.6515000;3.6700000;11400
CBOM;60;20150707;110000;3.6600000;3.6600000;3.6600000;3.6600000;100
CBOM;60;20150707;120000;3.6550000;3.6550000;3.6550000;3.6550000;100
CBOM;60;20150707;130000;3.6550000;3.6550000;3.6550000;3.6550000;500
CBOM;60;20150707;140000;3.6390000;3.6390000;3.6390000;3.6390000;1480700
CBOM;60;20150707;150000;3.6390000;3.6550000;3.6370000;3.6370000;7323600
CBOM;60;20150707;160000;3.6370000;3.6370000;3.6350000;3.6350000;5574200
CBOM;60;20150707;170000;3.6350000;3.6500000;3.6340000;3.6340000;4588300
CBOM;60;20150707;180000;3.6340000;3.6340000;3.6310000;3.6310000;11103900
CBOM;60;20150707;190000;3.6310000;3.6310000;3.6310000;3.6310000;412300
CBOM;60;20150708;110000;3.6205000;3.6600000;3.6205000;3.6320000;364200
CBOM;60;20150708;120000;3.6325000;3.6370000;3.6270000;3.6370000;9008700
CBOM;60;20150708;130000;3.6370000;3.6380000;3.6370000;3.6380000;3798000
CBOM;60;20150708;140000;3.6380000;3.6400000;3.6380000;3.6400000;1904200
CBOM;60;20150708;150000;3.6400000;3.6430000;3.6400000;3.6430000;8741400
CBOM;60;20150708;160000;3.6420000;3.6420000;3.6420000;3.6420000;500
CBOM;60;20150708;170000;3.6400000;3.6410000;3.6400000;3.6410000;1052000
CBOM;60;20150708;180000;3.6410000;3.6430000;3.6410000;3.6430000;8090000
CBOM;60;20150708;190000;3.6465000;3.6490000;3.6270000;3.6490000;7443100
CBOM;60;20150709;110000;3.6250000;3.6250000;3.6250000;3.6250000;200000
CBOM;60;20150709;120000;3.6250000;3.6370000;3.6250000;3.6370000;3250000
CBOM;60;20150709;130000;3.6370000;3.6390000;3.6370000;3.6390000;6700100
CBOM;60;20150709;140000;3.6400000;3.6400000;3.6400000;3.6400000;770000
CBOM;60;20150709;150000;3.6400000;3.6415000;3.6400000;3.6415000;2575000
CBOM;60;20150709;160000;3.6415000;3.6435000;3.6415000;3.6435000;7989000
CBOM;60;20150709;170000;3.6435000;3.6435000;3.6435000;3.6435000;4165400
CBOM;60;20150709;180000;3.6435000;3.6435000;3.6420000;3.6420000;4050000
CBOM;60;20150709;190000;3.6420000;3.6500000;3.6420000;3.6500000;4980900
CBOM;60;20150710;110000;3.6580000;3.6580000;3.6580000;3.6580000;1000
CBOM;60;20150710;120000;3.6320000;3.6320000;3.6320000;3.6320000;0
CBOM;60;20150710;130000;3.6550000;3.6550000;3.6320000;3.6320000;850200
CBOM;60;20150710;140000;3.6320000;3.6325000;3.6320000;3.6320000;625100
CBOM;60;20150710;150000;3.6320000;3.6400000;3.6320000;3.6400000;4829300
CBOM;60;20150710;160000;3.6400000;3.6400000;3.6380000;3.6380000;4963100
CBOM;60;20150710;170000;3.6380000;3.6460000;3.6380000;3.6450000;11755800
CBOM;60;20150710;180000;3.6450000;3.6490000;3.6450000;3.6490000;3855500
CBOM;60;20150710;190000;3.6500000;3.6500000;3.6500000;3.6500000;100
CBOM;60;20150713;110000;3.6980000;3.6980000;3.6980000;3.6980000;100
CBOM;60;20150713;120000;3.6460000;3.6460000;3.6460000;3.6460000;1735400
CBOM;60;20150713;130000;3.6460000;3.6460000;3.6420000;3.6460000;1103300
CBOM;60;20150713;140000;3.6440000;3.6450000;3.6440000;3.6450000;4426000
CBOM;60;20150713;150000;3.6450000;3.6450000;3.6440000;3.6450000;3156900
CBOM;60;20150713;160000;3.6455000;3.6480000;3.6455000;3.6480000;3615500
CBOM;60;20150713;170000;3.6480000;3.6545000;3.6450000;3.6490000;1709600
CBOM;60;20150713;180000;3.6490000;3.6505000;3.6490000;3.6505000;13554400
CBOM;60;20150713;190000;3.6505000;3.6545000;3.6505000;3.6545000;6672500
CBOM;60;20150714;110000;3.6450000;3.6450000;3.6450000;3.6450000;949100
CBOM;60;20150714;120000;3.6415000;3.6415000;3.6415000;3.6415000;0
CBOM;60;20150714;130000;3.6455000;3.6455000;3.6415000;3.6415000;3000
CBOM;60;20150714;140000;3.6470000;3.6470000;3.6470000;3.6470000;0
CBOM;60;20150714;150000;3.6450000;3.6470000;3.6450000;3.6470000;5737000
CBOM;60;20150714;160000;3.6470000;3.6500000;3.6470000;3.6500000;7520100
CBOM;60;20150714;170000;3.6495000;3.6510000;3.6495000;3.6505000;19700000
CBOM;60;20150714;180000;3.6505000;3.6515000;3.6505000;3.6515000;8686000
CBOM;60;20150714;190000;3.6510000;3.6585000;3.6510000;3.6525000;10682200
CBOM;60;20150715;110000;3.6260000;3.6260000;3.6200000;3.6200000;28700
CBOM;60;20150715;120000;3.6300000;3.6505000;3.6300000;3.6505000;2569200
CBOM;60;20150715;130000;3.6510000;3.6520000;3.6500000;3.6520000;9180900
CBOM;60;20150715;140000;3.6520000;3.6530000;3.6520000;3.6530000;5300000
CBOM;60;20150715;150000;3.6530000;3.6540000;3.6530000;3.6540000;2900000
CBOM;60;20150715;160000;3.6520000;3.6520000;3.6520000;3.6520000;0
CBOM;60;20150715;170000;3.6520000;3.6520000;3.6520000;3.6520000;3100000
CBOM;60;20150715;180000;3.6530000;3.6550000;3.6530000;3.6550000;12900000
CBOM;60;20150715;190000;3.6550000;3.6560000;3.6550000;3.6560000;3700000
CBOM;60;20150716;110000;3.6395000;3.6560000;3.6390000;3.6560000;392500
CBOM;60;20150716;120000;3.6725000;3.6725000;3.6725000;3.6725000;0
CBOM;60;20150716;130000;3.6720000;3.6730000;3.6635000;3.6725000;2257200
CBOM;60;20150716;140000;3.6725000;3.6760000;3.6725000;3.6730000;2022600
CBOM;60;20150716;150000;3.6730000;3.6730000;3.6730000;3.6730000;1480000
CBOM;60;20150716;160000;3.6735000;3.6760000;3.6730000;3.6740000;4800500
CBOM;60;20150716;170000;3.6740000;3.6745000;3.6740000;3.6745000;3100000
CBOM;60;20150716;180000;3.6745000;3.6830000;3.6745000;3.6755000;13526300
CBOM;60;20150716;190000;3.6755000;3.6760000;3.6730000;3.6760000;1990600
CBOM;60;20150717;110000;3.6710000;3.6710000;3.6710000;3.6710000;0
CBOM;60;20150717;120000;3.6710000;3.6710000;3.6705000;3.6705000;300100
CBOM;60;20150717;130000;3.6700000;3.6700000;3.6700000;3.6700000;123700
CBOM;60;20150717;140000;3.6740000;3.6740000;3.6700000;3.6700000;140200
CBOM;60;20150717;150000;3.6700000;3.6700000;3.6700000;3.6700000;286200
CBOM;60;20150717;160000;3.6700000;3.6745000;3.6700000;3.6700000;250100
CBOM;60;20150717;170000;3.6700000;3.6700000;3.6690000;3.6690000;264000
CBOM;60;20150717;180000;3.6690000;3.6745000;3.6690000;3.6745000;301100
CBOM;60;20150717;190000;3.6690000;3.6690000;3.6690000;3.6690000;300000
CBOM;60;20150720;110000;3.6625000;3.6625000;3.6620000;3.6620000;180100
CBOM;60;20150720;120000;3.6620000;3.6620000;3.6615000;3.6615000;3297000
CBOM;60;20150720;130000;3.6615000;3.6615000;3.6605000;3.6605000;3740000
