<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;60;20150105;110000;59.5100000;60.7800000;59.5000000;60.1100000;140830
MOEX;60;20150105;120000;60.1200000;60.4500000;60.1000000;60.4200000;79360
MOEX;60;20150105;130000;60.3800000;60.8700000;60.0700000;60.6000000;216170
MOEX;60;20150105;140000;60.5900000;60.7500000;60.4500000;60.4800000;97520
MOEX;60;20150105;150000;60.4800000;60.5900000;60.4500000;60.4500000;78750
MOEX;60;20150105;160000;60.4600000;60.7500000;60.0900000;60.6800000;293230
MOEX;60;20150105;170000;60.6800000;61.1000000;60.5000000;60.8000000;279840
MOEX;60;20150105;180000;60.8000000;61.0000000;60.4200000;60.7300000;505310
MOEX;60;20150105;190000;60.7000000;60.8100000;60.4000000;60.4000000;321500
MOEX;60;20150106;110000;60.3000000;60.9100000;60.0400000;60.6100000;28330
MOEX;60;20150106;120000;60.6000000;61.0200000;60.6000000;61.0000000;382090
MOEX;60;20150106;130000;61.0100000;61.0200000;60.9300000;61.0000000;154310
MOEX;60;20150106;140000;61.0000000;61.1000000;60.9200000;61.0000000;259610
MOEX;60;20150106;150000;61.0000000;61.1500000;61.0000000;61.1500000;49640
MOEX;60;20150106;160000;61.1100000;61.3400000;61.0800000;61.3400000;576980
MOEX;60;20150106;170000;61.3100000;61.6400000;61.2900000;61.4800000;409590
MOEX;60;20150106;180000;61.4800000;61.9500000;61.4800000;61.8100000;130480
MOEX;60;20150106;190000;61.8000000;61.9900000;61.7700000;61.9000000;293750
MOEX;60;20150108;110000;61.7700000;64.7000000;61.5100000;62.2100000;2009120
MOEX;60;20150108;120000;62.2300000;62.4000000;61.8900000;62.1300000;294430
MOEX;60;20150108;130000;62.1300000;62.3400000;62.0600000;62.1600000;239600
MOEX;60;20150108;140000;62.1700000;62.6800000;62.1300000;62.4400000;268300
MOEX;60;20150108;150000;62.4200000;62.8700000;62.2900000;62.5900000;381010
MOEX;60;20150108;160000;62.5900000;62.7700000;62.1200000;62.5800000;242290
MOEX;60;20150108;170000;62.5300000;62.5600000;62.2100000;62.5200000;153410
MOEX;60;20150108;180000;62.4900000;62.5200000;62.2500000;62.3300000;281560
MOEX;60;20150108;190000;62.3300000;62.5000000;61.9000000;61.9000000;1076750
MOEX;60;20150109;110000;61.9200000;62.0500000;60.7800000;61.4800000;293570
MOEX;60;20150109;120000;61.4500000;61.6000000;61.0000000;61.2300000;201230
MOEX;60;20150109;130000;61.2000000;61.6700000;61.1700000;61.6400000;177290
MOEX;60;20150109;140000;61.6400000;61.6400000;60.9000000;61.4400000;141090
MOEX;60;20150109;150000;61.3600000;61.3600000;60.2100000;60.6800000;522690
MOEX;60;20150109;160000;60.6100000;60.6800000;60.0500000;60.1700000;117490
MOEX;60;20150109;170000;60.1700000;60.6300000;60.0500000;60.4100000;55610
MOEX;60;20150109;180000;60.4300000;60.6400000;60.0200000;60.5700000;168840
MOEX;60;20150109;190000;60.5100000;60.7000000;60.1400000;60.1400000;140410
MOEX;60;20150112;110000;60.7300000;60.9900000;59.0500000;60.1500000;872990
MOEX;60;20150112;120000;60.0900000;60.3700000;59.8200000;60.2500000;160610
MOEX;60;20150112;130000;60.2800000;60.3400000;60.1000000;60.2600000;117770
MOEX;60;20150112;140000;60.3100000;60.3300000;59.8300000;59.9400000;182250
MOEX;60;20150112;150000;59.9400000;59.9500000;59.8400000;59.9500000;133490
MOEX;60;20150112;160000;59.9500000;59.9500000;59.8800000;59.9000000;240220
MOEX;60;20150112;170000;59.9000000;59.9000000;59.7200000;59.8600000;265200
MOEX;60;20150112;180000;59.8600000;59.8900000;59.6600000;59.6700000;338050
MOEX;60;20150112;190000;59.6600000;59.7700000;59.4800000;59.5900000;609110
MOEX;60;20150113;110000;59.4300000;59.8000000;59.0000000;59.1800000;188670
MOEX;60;20150113;120000;59.1800000;59.4500000;58.5600000;58.7900000;665530
MOEX;60;20150113;130000;58.7900000;59.0000000;58.7000000;58.8400000;177570
MOEX;60;20150113;140000;58.8300000;58.9500000;58.7000000;58.8700000;126300
MOEX;60;20150113;150000;58.8700000;59.3700000;58.7800000;59.3700000;218700
MOEX;60;20150113;160000;59.4100000;59.5600000;59.3000000;59.4500000;215950
MOEX;60;20150113;170000;59.4800000;60.1400000;59.4600000;59.8800000;887320
MOEX;60;20150113;180000;59.8800000;59.8800000;58.9700000;59.2400000;543270
MOEX;60;20150113;190000;59.2200000;59.2500000;58.5100000;58.5100000;1336740
MOEX;60;20150114;110000;58.5900000;59.3700000;58.5500000;59.2200000;649520
MOEX;60;20150114;120000;59.2600000;60.9900000;58.9700000;60.4600000;1104810
MOEX;60;20150114;130000;60.4900000;61.8000000;60.2700000;61.3100000;1839850
MOEX;60;20150114;140000;61.3600000;61.3700000;60.3000000;60.8300000;387520
MOEX;60;20150114;150000;60.8300000;61.1000000;60.7100000;60.9800000;192740
MOEX;60;20150114;160000;60.9800000;61.0000000;60.5600000;60.9100000;154340
MOEX;60;20150114;170000;60.9100000;61.1000000;60.8400000;61.0000000;109170
MOEX;60;20150114;180000;61.0400000;61.2500000;60.8600000;61.1700000;510060
MOEX;60;20150114;190000;61.1700000;61.2500000;60.9800000;61.2200000;602530
MOEX;60;20150115;110000;61.5100000;62.1400000;61.0000000;62.1200000;352660
MOEX;60;20150115;120000;62.1200000;62.1400000;61.7100000;62.0500000;1025660
MOEX;60;20150115;130000;62.0500000;62.0800000;61.8700000;61.9300000;514350
MOEX;60;20150115;140000;61.9400000;62.1100000;61.9400000;62.1000000;254460
MOEX;60;20150115;150000;62.1000000;62.1100000;61.8700000;62.0900000;552910
MOEX;60;20150115;160000;62.0900000;62.5000000;62.0500000;62.2400000;534380
MOEX;60;20150115;170000;62.2400000;62.6500000;62.0400000;62.2700000;1046040
MOEX;60;20150115;180000;62.2600000;62.3000000;61.9300000;62.3000000;280490
MOEX;60;20150115;190000;62.3100000;62.4500000;61.1000000;61.8000000;739650
MOEX;60;20150116;110000;61.7000000;62.4500000;61.2400000;61.4900000;365350
MOEX;60;20150116;120000;61.4200000;61.6400000;61.2700000;61.3500000;290700
MOEX;60;20150116;130000;61.3500000;61.9800000;61.3500000;61.9700000;187920
MOEX;60;20150116;140000;61.9700000;62.3900000;61.8100000;62.0300000;257380
MOEX;60;20150116;150000;62.0300000;62.2500000;61.9800000;62.2500000;83020
MOEX;60;20150116;160000;62.2500000;62.4000000;62.2100000;62.3400000;211490
MOEX;60;20150116;170000;62.3500000;62.7300000;62.2400000;62.6400000;516600
MOEX;60;20150116;180000;62.6600000;62.6800000;62.5000000;62.5400000;206390
MOEX;60;20150116;190000;62.5900000;62.6800000;62.2100000;62.5000000;522260
MOEX;60;20150119;110000;62.5000000;63.3000000;62.1200000;62.7900000;202210
MOEX;60;20150119;120000;62.8100000;64.0500000;62.6200000;63.8000000;393940
MOEX;60;20150119;130000;63.7900000;64.2500000;63.6700000;64.0200000;2746630
MOEX;60;20150119;140000;64.0000000;64.2000000;63.2200000;64.1300000;3178040
MOEX;60;20150119;150000;64.1400000;64.2000000;64.0000000;64.1000000;214410
MOEX;60;20150119;160000;64.1400000;64.2000000;64.0000000;64.1500000;154420
MOEX;60;20150119;170000;64.0900000;64.2000000;63.1000000;63.3600000;274720
MOEX;60;20150119;180000;63.3000000;63.6400000;63.1600000;63.4300000;166640
MOEX;60;20150119;190000;63.4100000;63.7900000;62.8000000;63.4500000;659940
MOEX;60;20150120;110000;63.3100000;63.4500000;62.3300000;62.8000000;325220
MOEX;60;20150120;120000;62.8000000;63.7300000;62.6200000;62.8500000;1965730
MOEX;60;20150120;130000;62.8200000;63.3500000;62.8200000;63.2000000;340460
MOEX;60;20150120;140000;63.2000000;63.8000000;63.1000000;63.3100000;222000
MOEX;60;20150120;150000;63.3100000;63.4000000;63.3100000;63.3600000;35230
MOEX;60;20150120;160000;63.3700000;63.8500000;63.2500000;63.2900000;530010
MOEX;60;20150120;170000;63.2900000;63.4600000;62.9400000;63.1700000;97200
MOEX;60;20150120;180000;63.1700000;63.1700000;62.6500000;62.9700000;244150
MOEX;60;20150120;190000;62.9700000;63.0500000;61.8000000;62.0000000;563170
MOEX;60;20150121;110000;62.5100000;62.8900000;62.0100000;62.5400000;327660
MOEX;60;20150121;120000;62.5300000;63.1100000;62.5000000;62.6200000;324200
MOEX;60;20150121;130000;62.6400000;62.8600000;62.2800000;62.7600000;220020
MOEX;60;20150121;140000;62.7500000;63.0500000;62.6400000;62.7000000;774590
MOEX;60;20150121;150000;62.6900000;63.2500000;62.4600000;63.2500000;350760
MOEX;60;20150121;160000;63.2500000;63.3400000;63.1000000;63.3200000;915610
MOEX;60;20150121;170000;63.3100000;63.7500000;62.8000000;63.2600000;3743040
MOEX;60;20150121;180000;63.2900000;64.9700000;63.0000000;64.6200000;3014500
MOEX;60;20150121;190000;64.5900000;64.9100000;63.9000000;64.5000000;3033380
MOEX;60;20150122;110000;64.6600000;65.0000000;64.4500000;65.0000000;889210
MOEX;60;20150122;120000;64.9900000;66.0900000;64.9200000;65.7900000;1609150
MOEX;60;20150122;130000;65.7900000;65.9000000;65.6900000;65.8000000;406560
MOEX;60;20150122;140000;65.8000000;66.0900000;65.7500000;66.0300000;568470
MOEX;60;20150122;150000;66.0400000;66.3700000;65.8000000;66.2000000;420290
MOEX;60;20150122;160000;66.1800000;66.2000000;65.8000000;66.0000000;129670
MOEX;60;20150122;170000;65.9500000;67.8300000;65.8300000;66.9900000;1450630
MOEX;60;20150122;180000;66.9900000;67.4600000;66.8000000;67.2600000;1373130
MOEX;60;20150122;190000;67.3000000;68.0000000;67.1000000;68.0000000;1749060
MOEX;60;20150123;110000;66.9600000;69.2500000;66.3900000;68.9300000;1398980
MOEX;60;20150123;120000;68.8800000;69.7500000;68.6500000;69.1600000;1357320
MOEX;60;20150123;130000;69.1700000;69.2200000;68.5500000;69.0000000;1196030
MOEX;60;20150123;140000;69.0000000;69.5900000;68.8800000;69.1300000;628340
MOEX;60;20150123;150000;69.1400000;69.3000000;68.9100000;69.3000000;95820
MOEX;60;20150123;160000;69.3000000;69.3000000;68.5400000;68.9300000;237820
MOEX;60;20150123;170000;68.9200000;69.0700000;68.6800000;68.8500000;630940
MOEX;60;20150123;180000;68.9000000;69.2400000;67.7700000;67.8700000;1068030
MOEX;60;20150123;190000;67.8700000;69.1100000;66.8700000;69.1100000;2000200
MOEX;60;20150126;110000;68.1700000;68.4300000;66.6700000;66.7700000;323480
MOEX;60;20150126;120000;66.7100000;67.0900000;66.6500000;67.0100000;246530
MOEX;60;20150126;130000;67.0000000;67.0500000;66.7400000;67.0100000;177990
MOEX;60;20150126;140000;67.0100000;67.3700000;67.0100000;67.2400000;333240
