<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QIWI;60;20150105;110000;1200.0000000;1200.0000000;1200.0000000;1200.0000000;0
QIWI;60;20150105;120000;1200.0000000;1255.0000000;1200.0000000;1210.0000000;40
QIWI;60;20150105;130000;1250.0000000;1250.0000000;1250.0000000;1250.0000000;0
QIWI;60;20150105;140000;1250.0000000;1250.0000000;1250.0000000;1250.0000000;0
QIWI;60;20150105;150000;1250.0000000;1250.0000000;1250.0000000;1250.0000000;0
QIWI;60;20150105;160000;1250.0000000;1250.0000000;1250.0000000;1250.0000000;0
QIWI;60;20150105;170000;1250.0000000;1250.0000000;1250.0000000;1250.0000000;0
QIWI;60;20150105;180000;1230.0000000;1250.0000000;1230.0000000;1250.0000000;12
QIWI;60;20150105;190000;1230.0000000;1230.0000000;1220.0000000;1220.0000000;200
QIWI;60;20150106;110000;1215.0000000;1215.0000000;1215.0000000;1215.0000000;108
QIWI;60;20150106;120000;1215.0000000;1245.0000000;1215.0000000;1245.0000000;186
QIWI;60;20150106;130000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;0
QIWI;60;20150106;140000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;0
QIWI;60;20150106;150000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;0
QIWI;60;20150106;160000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;0
QIWI;60;20150106;170000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;0
QIWI;60;20150106;180000;1230.0000000;1230.0000000;1230.0000000;1230.0000000;2
QIWI;60;20150106;190000;1235.0000000;1235.0000000;1230.0000000;1230.0000000;126
QIWI;60;20150108;110000;1270.0000000;1270.0000000;1270.0000000;1270.0000000;80
QIWI;60;20150108;120000;1270.0000000;1270.0000000;1270.0000000;1270.0000000;20
QIWI;60;20150108;130000;1275.0000000;1275.0000000;1275.0000000;1275.0000000;20
QIWI;60;20150108;140000;1260.0000000;1260.0000000;1260.0000000;1260.0000000;0
QIWI;60;20150108;150000;1260.0000000;1260.0000000;1260.0000000;1260.0000000;0
QIWI;60;20150108;160000;1270.0000000;1270.0000000;1260.0000000;1260.0000000;5
QIWI;60;20150108;170000;1280.0000000;1280.0000000;1280.0000000;1280.0000000;5
