<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.IMOEX;60;20150105;110000;1393.3700000;1407.9200000;1390.6200000;1393.3400000;1780844320
RI.IMOEX;60;20150105;120000;1393.1100000;1417.2800000;1392.6600000;1415.8800000;2150515683
RI.IMOEX;60;20150105;130000;1415.7700000;1431.5800000;1411.8800000;1430.1600000;2118873305
RI.IMOEX;60;20150105;140000;1430.4000000;1433.7900000;1427.1700000;1427.9200000;1463657667
RI.IMOEX;60;20150105;150000;1427.9300000;1432.5300000;1427.2100000;1427.6800000;1329451677
RI.IMOEX;60;20150105;160000;1427.5800000;1431.1800000;1423.9900000;1429.4600000;1077300964
RI.IMOEX;60;20150105;170000;1429.5100000;1433.9800000;1428.6600000;1429.0300000;1263762084
RI.IMOEX;60;20150105;180000;1428.9800000;1431.7200000;1419.5400000;1423.2900000;1601833979
RI.IMOEX;60;20150105;190000;1423.3300000;1438.8600000;1422.3500000;1435.6600000;2534447606
RI.IMOEX;60;20150106;110000;1431.6000000;1459.5900000;1430.6900000;1458.4400000;2605739819
RI.IMOEX;60;20150106;120000;1458.4500000;1465.9900000;1452.5600000;1465.2900000;4005103669
RI.IMOEX;60;20150106;130000;1465.3500000;1473.2300000;1459.1400000;1470.4900000;2586817550
RI.IMOEX;60;20150106;140000;1470.5500000;1477.7100000;1467.2900000;1472.4600000;2792557918
RI.IMOEX;60;20150106;150000;1472.4100000;1473.4600000;1465.2700000;1465.7200000;2083459332
RI.IMOEX;60;20150106;160000;1465.9500000;1468.4200000;1461.2000000;1462.4800000;1448427514
RI.IMOEX;60;20150106;170000;1462.5600000;1466.1700000;1462.2000000;1464.2600000;1294098832
RI.IMOEX;60;20150106;180000;1464.1700000;1471.7100000;1461.7200000;1471.6700000;1834858166
RI.IMOEX;60;20150106;190000;1471.4000000;1481.3000000;1470.4700000;1480.7300000;2617752097
RI.IMOEX;60;20150108;110000;1482.1200000;1511.4200000;1482.1200000;1507.2000000;3793864534
RI.IMOEX;60;20150108;120000;1507.1700000;1526.4000000;1502.8500000;1524.2200000;5119217594
RI.IMOEX;60;20150108;130000;1524.3100000;1533.5200000;1519.3900000;1531.4300000;4535801007
RI.IMOEX;60;20150108;140000;1532.2500000;1541.7800000;1528.5600000;1537.5600000;4041287665
RI.IMOEX;60;20150108;150000;1537.5600000;1549.2400000;1536.6600000;1545.5400000;2638183042
RI.IMOEX;60;20150108;160000;1545.5500000;1560.1600000;1544.9000000;1559.3200000;2776821961
RI.IMOEX;60;20150108;170000;1559.2400000;1559.4200000;1549.9300000;1553.7800000;2878803190
RI.IMOEX;60;20150108;180000;1553.8500000;1563.3400000;1552.9300000;1558.3900000;5003174215
RI.IMOEX;60;20150108;190000;1558.6000000;1564.7600000;1544.6900000;1547.3900000;4717910308
RI.IMOEX;60;20150109;110000;1548.7700000;1557.8300000;1534.2600000;1548.0200000;4243625317
RI.IMOEX;60;20150109;120000;1548.0300000;1548.0300000;1517.1900000;1520.4300000;4579161564
RI.IMOEX;60;20150109;130000;1521.5300000;1533.1900000;1520.4000000;1532.9300000;2418036861
RI.IMOEX;60;20150109;140000;1534.0700000;1535.0500000;1501.3400000;1505.0800000;4423430710
RI.IMOEX;60;20150109;150000;1505.0900000;1510.6800000;1496.1800000;1501.0600000;2327922475
RI.IMOEX;60;20150109;160000;1500.2300000;1503.8800000;1496.2700000;1499.2700000;1855977553
RI.IMOEX;60;20150109;170000;1499.2900000;1517.2300000;1499.2900000;1507.7800000;2089416357
RI.IMOEX;60;20150109;180000;1507.8300000;1517.1800000;1501.7100000;1510.4800000;2679142351
RI.IMOEX;60;20150109;190000;1510.2600000;1522.0500000;1508.8500000;1515.3700000;2606345222
RI.IMOEX;60;20150112;110000;1512.6500000;1534.4900000;1508.8000000;1523.6500000;5185339922
RI.IMOEX;60;20150112;120000;1522.6100000;1527.3300000;1512.4500000;1520.2600000;3415573244
RI.IMOEX;60;20150112;130000;1520.2500000;1522.5900000;1509.4300000;1515.0800000;2070602423
RI.IMOEX;60;20150112;140000;1515.0400000;1517.5400000;1503.6000000;1507.4700000;2128791244
RI.IMOEX;60;20150112;150000;1507.4300000;1511.7000000;1505.5600000;1506.5800000;1716755255
RI.IMOEX;60;20150112;160000;1506.6000000;1516.4500000;1505.2000000;1515.0700000;1697633656
RI.IMOEX;60;20150112;170000;1515.3300000;1515.7700000;1506.1500000;1506.3300000;2253314366
RI.IMOEX;60;20150112;180000;1506.5700000;1515.4300000;1506.2900000;1507.4100000;2412580693
RI.IMOEX;60;20150112;190000;1507.5000000;1514.4900000;1506.7900000;1513.2200000;2538465053
RI.IMOEX;60;20150113;110000;1513.5200000;1519.4800000;1499.5700000;1509.9000000;4336041840
RI.IMOEX;60;20150113;120000;1510.0100000;1524.0800000;1505.8100000;1510.6800000;4860659517
RI.IMOEX;60;20150113;130000;1510.5400000;1516.0600000;1509.0900000;1512.5200000;2430954329
RI.IMOEX;60;20150113;140000;1512.5000000;1515.2100000;1509.0900000;1512.6800000;4057953024
RI.IMOEX;60;20150113;150000;1512.6800000;1523.3600000;1512.4900000;1522.7000000;2374231149
RI.IMOEX;60;20150113;160000;1522.6600000;1528.1300000;1522.5000000;1523.3600000;2384642609
RI.IMOEX;60;20150113;170000;1523.4500000;1536.2700000;1521.9500000;1532.7400000;3190808508
RI.IMOEX;60;20150113;180000;1532.7500000;1542.9000000;1532.3300000;1540.6900000;4079685370
RI.IMOEX;60;20150113;190000;1540.8600000;1543.5800000;1527.1600000;1533.0900000;5418688589
RI.IMOEX;60;20150114;110000;1531.7200000;1541.7600000;1529.3000000;1541.5000000;4976135281
RI.IMOEX;60;20150114;120000;1541.6600000;1544.7400000;1524.8200000;1536.7600000;4036637952
RI.IMOEX;60;20150114;130000;1537.0300000;1546.7800000;1535.3700000;1544.9800000;3395555591
RI.IMOEX;60;20150114;140000;1544.9100000;1546.7800000;1538.8900000;1539.1100000;2595748150
RI.IMOEX;60;20150114;150000;1539.1100000;1543.1700000;1537.7400000;1538.0300000;2257325731
RI.IMOEX;60;20150114;160000;1537.8700000;1537.9900000;1532.2200000;1535.2400000;2344563963
RI.IMOEX;60;20150114;170000;1535.0900000;1543.8700000;1535.0300000;1542.4600000;2518842662
RI.IMOEX;60;20150114;180000;1542.6300000;1555.5700000;1541.3800000;1552.3300000;5128319948
RI.IMOEX;60;20150114;190000;1552.4900000;1559.9900000;1552.1300000;1554.4600000;4852363528
RI.IMOEX;60;20150115;110000;1563.7400000;1575.6800000;1555.3600000;1574.8300000;4972205587
RI.IMOEX;60;20150115;120000;1574.6600000;1586.1100000;1573.2600000;1581.0900000;7895223096
RI.IMOEX;60;20150115;130000;1581.0000000;1581.5600000;1570.2500000;1574.8300000;3480853090
RI.IMOEX;60;20150115;140000;1574.7400000;1582.3600000;1573.2500000;1581.0500000;2752633401
RI.IMOEX;60;20150115;150000;1581.0100000;1581.6900000;1562.4800000;1567.3800000;3691151609
RI.IMOEX;60;20150115;160000;1567.2300000;1577.1900000;1567.0900000;1573.3200000;2822506470
RI.IMOEX;60;20150115;170000;1573.4500000;1578.2500000;1566.5500000;1577.3500000;3343374469
RI.IMOEX;60;20150115;180000;1577.2500000;1579.7000000;1567.3700000;1571.3400000;4361266822
RI.IMOEX;60;20150115;190000;1571.4200000;1573.3300000;1561.2500000;1563.2100000;5360286116
RI.IMOEX;60;20150116;110000;1559.2400000;1563.8800000;1551.0300000;1555.7000000;3362200640
RI.IMOEX;60;20150116;120000;1555.5300000;1562.6500000;1554.0400000;1559.8500000;2843719343
RI.IMOEX;60;20150116;130000;1559.8300000;1568.9100000;1558.8900000;1568.1000000;3585964795
RI.IMOEX;60;20150116;140000;1568.2400000;1579.9100000;1568.0200000;1576.3900000;4240613946
RI.IMOEX;60;20150116;150000;1576.4400000;1587.0700000;1575.8200000;1587.0200000;3905138778
RI.IMOEX;60;20150116;160000;1586.9600000;1588.4800000;1580.9600000;1583.6700000;2902272462
RI.IMOEX;60;20150116;170000;1583.6900000;1594.0600000;1583.5100000;1589.7800000;2761678137
RI.IMOEX;60;20150116;180000;1589.7100000;1592.6800000;1589.1800000;1589.7300000;2708235536
RI.IMOEX;60;20150116;190000;1589.7400000;1593.6900000;1588.9300000;1591.4300000;3759030852
RI.IMOEX;60;20150119;110000;1590.2300000;1608.3700000;1585.4700000;1601.0400000;4921888117
RI.IMOEX;60;20150119;120000;1601.1300000;1614.3900000;1596.8600000;1613.3200000;4536772162
RI.IMOEX;60;20150119;130000;1613.0900000;1623.4500000;1612.4800000;1622.8800000;5279490734
RI.IMOEX;60;20150119;140000;1622.9100000;1626.1300000;1618.0100000;1625.2900000;3955812413
RI.IMOEX;60;20150119;150000;1625.3400000;1627.2800000;1613.5000000;1614.8900000;2567389240
RI.IMOEX;60;20150119;160000;1614.8700000;1619.9400000;1609.0600000;1613.4100000;2623014781
RI.IMOEX;60;20150119;170000;1613.1400000;1613.2000000;1597.9300000;1598.6800000;2983466704
RI.IMOEX;60;20150119;180000;1597.4500000;1601.9000000;1590.3300000;1592.5700000;4447492582
RI.IMOEX;60;20150119;190000;1592.6400000;1596.3100000;1573.0900000;1576.4000000;5852642893
RI.IMOEX;60;20150120;110000;1577.6100000;1584.1100000;1562.8500000;1564.5800000;6207881769
RI.IMOEX;60;20150120;120000;1564.5600000;1589.1800000;1564.3400000;1588.5700000;4224644814
RI.IMOEX;60;20150120;130000;1588.6700000;1593.4900000;1583.3700000;1588.9600000;2968492982
RI.IMOEX;60;20150120;140000;1589.7500000;1590.0800000;1582.4500000;1584.5700000;1493135422
RI.IMOEX;60;20150120;150000;1584.5600000;1591.7500000;1584.3100000;1590.6200000;1378267289
RI.IMOEX;60;20150120;160000;1592.6100000;1594.8600000;1583.0400000;1585.5700000;3101672513
RI.IMOEX;60;20150120;170000;1585.5700000;1587.0000000;1576.8800000;1579.7100000;3219748896
RI.IMOEX;60;20150120;180000;1579.8200000;1580.9600000;1566.6600000;1569.5400000;4791118183
RI.IMOEX;60;20150120;190000;1568.9300000;1573.0200000;1561.8300000;1570.9700000;4534542388
RI.IMOEX;60;20150121;110000;1576.1500000;1583.6300000;1571.2300000;1573.1200000;4083026589
RI.IMOEX;60;20150121;120000;1573.0100000;1591.3400000;1572.6800000;1581.6900000;3665573810
RI.IMOEX;60;20150121;130000;1581.7000000;1585.1800000;1578.3400000;1581.9300000;2372694303
RI.IMOEX;60;20150121;140000;1581.9000000;1587.9900000;1581.4300000;1584.5600000;1206880058
RI.IMOEX;60;20150121;150000;1584.4700000;1593.3000000;1583.5300000;1592.0400000;2095074765
RI.IMOEX;60;20150121;160000;1592.1200000;1596.2200000;1591.0200000;1593.7400000;3222919861
RI.IMOEX;60;20150121;170000;1593.8500000;1613.0900000;1593.7800000;1613.0900000;4435002027
RI.IMOEX;60;20150121;180000;1614.0500000;1617.4900000;1607.1800000;1607.6000000;5294524312
RI.IMOEX;60;20150121;190000;1607.9500000;1619.0200000;1604.7200000;1618.1700000;4884001845
RI.IMOEX;60;20150122;110000;1620.9200000;1631.6500000;1618.5400000;1630.3800000;6584061283
RI.IMOEX;60;20150122;120000;1630.2700000;1645.2600000;1627.5700000;1644.2600000;5951526394
RI.IMOEX;60;20150122;130000;1644.2600000;1657.0300000;1644.2600000;1649.6700000;5458765194
RI.IMOEX;60;20150122;140000;1649.6200000;1664.4300000;1649.5500000;1661.9900000;4956473769
RI.IMOEX;60;20150122;150000;1661.9900000;1668.7700000;1655.5300000;1668.3400000;4563861746
RI.IMOEX;60;20150122;160000;1668.2800000;1672.0000000;1663.8900000;1672.0000000;4868068792
RI.IMOEX;60;20150122;170000;1671.9700000;1673.3500000;1657.6300000;1667.1600000;6768382700
RI.IMOEX;60;20150122;180000;1667.3600000;1668.5200000;1654.5300000;1668.5100000;5460614731
RI.IMOEX;60;20150122;190000;1668.3900000;1676.3700000;1661.5000000;1666.5600000;5519767403
RI.IMOEX;60;20150123;110000;1670.4200000;1690.5400000;1670.4200000;1684.0400000;9186570231
RI.IMOEX;60;20150123;120000;1684.0700000;1700.7700000;1678.9600000;1689.9700000;7487878601
RI.IMOEX;60;20150123;130000;1690.0200000;1692.4800000;1678.0400000;1692.4200000;5977503121
RI.IMOEX;60;20150123;140000;1692.5300000;1699.1500000;1688.2600000;1691.4200000;3938338077
RI.IMOEX;60;20150123;150000;1691.4300000;1696.4100000;1687.2100000;1692.4100000;3205432557
RI.IMOEX;60;20150123;160000;1692.3600000;1697.8500000;1687.2900000;1691.5700000;3157346712
RI.IMOEX;60;20150123;170000;1691.6200000;1695.8200000;1689.7800000;1690.9800000;2289525729
RI.IMOEX;60;20150123;180000;1690.8600000;1690.8800000;1669.7700000;1669.7700000;3751230635
RI.IMOEX;60;20150123;190000;1669.8500000;1671.8000000;1662.1200000;1671.8000000;5317701035
RI.IMOEX;60;20150126;110000;1670.3000000;1670.3000000;1628.2100000;1637.3000000;6722197609
RI.IMOEX;60;20150126;120000;1637.2000000;1644.0600000;1627.2500000;1630.1200000;5841021654
RI.IMOEX;60;20150126;130000;1628.0300000;1633.1900000;1623.2600000;1628.4300000;4097610977
RI.IMOEX;60;20150126;140000;1628.4100000;1635.7900000;1625.8000000;1626.8300000;3098511023
RI.IMOEX;60;20150126;150000;1626.8000000;1635.8100000;1622.1400000;1635.3600000;2916905055
RI.IMOEX;60;20150126;160000;1635.4200000;1637.8100000;1627.2200000;1636.7500000;3300725855
RI.IMOEX;60;20150126;170000;1636.5900000;1643.4000000;1633.3100000;1637.5200000;3053089085
RI.IMOEX;60;20150126;180000;1637.6400000;1639.2900000;1630.9000000;1632.2600000;3787693422
RI.IMOEX;60;20150126;190000;1632.6200000;1643.7900000;1632.1800000;1642.3700000;4101775109
RI.IMOEX;60;20150127;110000;1625.0500000;1649.6900000;1614.9200000;1642.3600000;7357186398
RI.IMOEX;60;20150127;120000;1642.3800000;1662.5000000;1642.1700000;1660.7800000;6708924916
RI.IMOEX;60;20150127;130000;1660.8000000;1671.3000000;1657.9700000;1669.7200000;5445928991
RI.IMOEX;60;20150127;140000;1669.8400000;1681.4400000;1669.6600000;1679.3700000;5036229131
RI.IMOEX;60;20150127;150000;1679.3800000;1681.1100000;1668.5000000;1673.8200000;3243992087
RI.IMOEX;60;20150127;160000;1673.8300000;1675.4900000;1659.3800000;1664.3700000;3723724985
