<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXFN;60;20150105;110000;4145.5500000;4213.6800000;4129.9200000;4162.8600000;629100965
RI.MOEXFN;60;20150105;120000;4159.8000000;4238.1200000;4159.8000000;4232.9700000;983583561
RI.MOEXFN;60;20150105;130000;4235.1500000;4268.0800000;4227.3300000;4258.6600000;887931007
RI.MOEXFN;60;20150105;140000;4257.4200000;4310.1200000;4255.4500000;4286.7200000;549075457
RI.MOEXFN;60;20150105;150000;4287.5000000;4332.9500000;4282.4500000;4304.0800000;708717813
RI.MOEXFN;60;20150105;160000;4304.5100000;4307.9100000;4281.3800000;4284.5000000;348885700
RI.MOEXFN;60;20150105;170000;4284.3700000;4309.7100000;4272.5400000;4273.8300000;402899372
RI.MOEXFN;60;20150105;180000;4273.9000000;4285.4300000;4245.9500000;4263.5800000;448912602
RI.MOEXFN;60;20150105;190000;4263.9000000;4316.6500000;4261.1200000;4287.2900000;435650511
RI.MOEXFN;60;20150106;110000;4253.8200000;4313.7000000;4253.8200000;4297.9900000;580928693
RI.MOEXFN;60;20150106;120000;4301.4300000;4322.4100000;4293.9700000;4312.6100000;1379091938
RI.MOEXFN;60;20150106;130000;4314.3000000;4322.6000000;4295.6600000;4320.4700000;834941501
RI.MOEXFN;60;20150106;140000;4323.9900000;4351.1900000;4316.4800000;4339.6100000;946940232
RI.MOEXFN;60;20150106;150000;4339.7900000;4340.1500000;4317.9200000;4319.2300000;422862306
RI.MOEXFN;60;20150106;160000;4317.5600000;4324.0600000;4301.2800000;4302.5000000;381300401
RI.MOEXFN;60;20150106;170000;4300.6000000;4325.8100000;4300.6000000;4315.5600000;298952617
RI.MOEXFN;60;20150106;180000;4314.6400000;4325.4600000;4294.9900000;4323.4400000;406945286
RI.MOEXFN;60;20150106;190000;4321.8800000;4341.3300000;4317.8900000;4331.7100000;532039755
RI.MOEXFN;60;20150108;110000;4345.1200000;4426.6000000;4345.1200000;4383.4200000;1461758358
RI.MOEXFN;60;20150108;120000;4381.7200000;4468.4100000;4377.8300000;4460.6800000;2360539552
RI.MOEXFN;60;20150108;130000;4459.3400000;4498.1600000;4444.5900000;4494.6300000;1923731090
RI.MOEXFN;60;20150108;140000;4493.8700000;4523.2400000;4477.5200000;4508.9100000;1440561431
RI.MOEXFN;60;20150108;150000;4511.6500000;4527.0900000;4500.5300000;4516.1400000;780905171
RI.MOEXFN;60;20150108;160000;4516.6700000;4548.8400000;4506.5300000;4545.7700000;1144873512
RI.MOEXFN;60;20150108;170000;4542.3000000;4542.3000000;4508.0300000;4528.5200000;1538474599
RI.MOEXFN;60;20150108;180000;4526.1500000;4555.2100000;4516.3600000;4542.5800000;2622831032
RI.MOEXFN;60;20150108;190000;4539.0300000;4568.3800000;4473.3600000;4473.3600000;1915057585
RI.MOEXFN;60;20150109;110000;4475.6900000;4502.4600000;4431.5400000;4475.9600000;1848059583
RI.MOEXFN;60;20150109;120000;4474.5500000;4474.5500000;4390.0900000;4391.2000000;1561164292
RI.MOEXFN;60;20150109;130000;4393.6000000;4433.4400000;4393.6000000;4433.4400000;936620984
RI.MOEXFN;60;20150109;140000;4438.1500000;4439.3300000;4343.6100000;4362.7200000;1184709462
RI.MOEXFN;60;20150109;150000;4361.4400000;4368.4400000;4327.7200000;4335.5700000;875599400
RI.MOEXFN;60;20150109;160000;4336.3800000;4341.1600000;4315.5100000;4318.6200000;545590016
RI.MOEXFN;60;20150109;170000;4322.4900000;4354.0700000;4322.4900000;4337.9800000;581090668
RI.MOEXFN;60;20150109;180000;4334.9700000;4352.3600000;4303.5000000;4338.4900000;868358981
RI.MOEXFN;60;20150109;190000;4335.1600000;4379.4000000;4333.2300000;4359.6700000;710971602
RI.MOEXFN;60;20150112;110000;4336.7100000;4378.8600000;4310.5700000;4339.8700000;2552614837
RI.MOEXFN;60;20150112;120000;4338.1100000;4365.7100000;4328.0900000;4352.3500000;1249400841
RI.MOEXFN;60;20150112;130000;4354.2900000;4378.7700000;4344.6800000;4351.2500000;720293335
RI.MOEXFN;60;20150112;140000;4356.1400000;4358.5300000;4325.5400000;4337.8100000;599569764
RI.MOEXFN;60;20150112;150000;4337.5500000;4350.1700000;4324.8900000;4324.8900000;523595828
RI.MOEXFN;60;20150112;160000;4327.1100000;4340.8400000;4322.5900000;4330.1400000;772660840
RI.MOEXFN;60;20150112;170000;4332.3900000;4342.5500000;4304.7400000;4304.9600000;880654966
