<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SANDP-500;60;20100101;010000;1114.8100000;1115.1400000;1114.8100000;1115.1000000;0
SANDP-500;60;20100104;180000;1122.8700000;1129.2300000;1122.8700000;1128.2900000;0
SANDP-500;60;20100104;190000;1128.8900000;1132.1000000;1127.7600000;1131.3900000;0
SANDP-500;60;20100104;200000;1131.2900000;1133.8700000;1131.2000000;1132.9500000;0
SANDP-500;60;20100104;210000;1133.1400000;1133.4400000;1132.5000000;1133.0300000;0
SANDP-500;60;20100104;220000;1133.2800000;1133.7300000;1131.6400000;1131.7100000;0
SANDP-500;60;20100104;230000;1131.8600000;1133.6300000;1131.5400000;1132.8100000;0
SANDP-500;60;20100105;000000;1132.5800000;1133.5100000;1131.9000000;1132.9900000;0
SANDP-500;60;20100105;010000;1133.0500000;1133.0500000;1132.9700000;1132.9900000;0
SANDP-500;60;20100105;180000;1133.2500000;1133.3700000;1130.7800000;1130.7800000;0
SANDP-500;60;20100105;190000;1129.6600000;1136.4700000;1129.6600000;1135.7000000;0
SANDP-500;60;20100105;200000;1135.5100000;1136.1100000;1132.5500000;1133.7400000;0
SANDP-500;60;20100105;210000;1133.7500000;1135.0100000;1132.8600000;1133.6000000;0
SANDP-500;60;20100105;220000;1133.6100000;1133.8400000;1131.6100000;1132.5800000;0
SANDP-500;60;20100105;230000;1132.5900000;1133.7900000;1130.4100000;1133.4400000;0
SANDP-500;60;20100106;000000;1133.4600000;1136.6300000;1133.4600000;1136.4000000;0
SANDP-500;60;20100106;010000;1136.4100000;1136.5200000;1136.4100000;1136.5200000;0
SANDP-500;60;20100106;180000;1135.7100000;1136.5500000;1134.0400000;1135.0200000;0
SANDP-500;60;20100106;190000;1134.9400000;1137.3800000;1134.9000000;1136.8200000;0
SANDP-500;60;20100106;200000;1136.8800000;1138.1700000;1136.4200000;1136.6500000;0
SANDP-500;60;20100106;210000;1136.5500000;1136.9500000;1134.8500000;1136.4900000;0
SANDP-500;60;20100106;220000;1136.8500000;1137.2400000;1135.1200000;1135.8300000;0
SANDP-500;60;20100106;230000;1135.8200000;1139.1900000;1135.8200000;1138.7700000;0
SANDP-500;60;20100107;000000;1138.6800000;1138.7200000;1135.7400000;1136.9900000;0
SANDP-500;60;20100107;010000;1137.0300000;1137.1400000;1137.0300000;1137.1400000;0
SANDP-500;60;20100107;180000;1134.7900000;1136.1600000;1131.7800000;1131.9800000;0
SANDP-500;60;20100107;190000;1131.6100000;1138.1500000;1131.6100000;1137.4600000;0
SANDP-500;60;20100107;200000;1137.7300000;1138.2900000;1136.3200000;1137.3400000;0
