<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBERP;60;20150105;110000;37.0000000;37.8600000;36.9000000;37.5000000;1667300
SBERP;60;20150105;120000;37.4600000;38.6700000;37.4300000;38.5200000;2398500
SBERP;60;20150105;130000;38.5400000;38.7800000;38.3000000;38.6200000;1652700
SBERP;60;20150105;140000;38.6100000;38.7800000;38.4100000;38.6400000;1833600
SBERP;60;20150105;150000;38.6300000;38.8200000;38.4600000;38.5100000;748900
SBERP;60;20150105;160000;38.5800000;38.6800000;38.4000000;38.5500000;400600
SBERP;60;20150105;170000;38.5600000;38.8000000;38.5400000;38.5400000;529600
SBERP;60;20150105;180000;38.5500000;38.6100000;38.3100000;38.4900000;462400
SBERP;60;20150105;190000;38.4900000;38.6000000;38.4100000;38.5900000;607900
SBERP;60;20150106;110000;38.4700000;38.5800000;37.8200000;38.3600000;1887700
SBERP;60;20150106;120000;38.3800000;39.1400000;38.2500000;39.1100000;4070400
SBERP;60;20150106;130000;39.1100000;39.3700000;38.9200000;39.1200000;2348600
SBERP;60;20150106;140000;39.1100000;39.5000000;39.0600000;39.3000000;1621200
SBERP;60;20150106;150000;39.2800000;39.3700000;39.1200000;39.1700000;1049300
SBERP;60;20150106;160000;39.2300000;39.3000000;38.9200000;38.9700000;834200
SBERP;60;20150106;170000;38.9300000;39.2500000;38.8700000;39.0800000;634000
SBERP;60;20150106;180000;39.0700000;39.3700000;38.9200000;39.3700000;949200
SBERP;60;20150106;190000;39.3200000;39.6300000;39.3000000;39.5000000;1751800
SBERP;60;20150108;110000;39.8500000;41.3700000;39.8100000;41.1800000;4453300
SBERP;60;20150108;120000;41.1800000;43.5000000;40.9700000;43.4000000;9334400
SBERP;60;20150108;130000;43.4000000;43.8900000;42.5200000;43.7600000;4742400
SBERP;60;20150108;140000;43.7700000;43.8900000;43.1200000;43.2900000;2090600
SBERP;60;20150108;150000;43.3000000;43.4700000;42.9400000;43.2200000;1491300
SBERP;60;20150108;160000;43.2700000;43.6400000;43.0900000;43.6000000;1351800
SBERP;60;20150108;170000;43.5700000;43.7000000;43.2700000;43.6500000;2013200
SBERP;60;20150108;180000;43.6300000;44.9000000;43.5400000;44.7100000;6827500
SBERP;60;20150108;190000;44.7200000;45.1100000;43.0800000;43.7500000;5520900
SBERP;60;20150109;110000;43.7000000;44.6600000;43.1200000;43.8500000;4339300
SBERP;60;20150109;120000;43.8400000;43.8500000;42.3500000;42.4200000;3833600
SBERP;60;20150109;130000;42.4200000;42.8900000;42.3000000;42.8800000;2580400
SBERP;60;20150109;140000;42.8800000;42.9000000;42.2100000;42.4400000;2322400
SBERP;60;20150109;150000;42.4100000;42.5700000;42.1500000;42.2700000;1401700
SBERP;60;20150109;160000;42.2600000;42.5100000;42.2000000;42.4000000;892300
SBERP;60;20150109;170000;42.4400000;42.6000000;42.3400000;42.4700000;900900
SBERP;60;20150109;180000;42.4600000;42.8200000;42.3300000;42.6900000;1380100
SBERP;60;20150109;190000;42.6700000;43.2300000;42.6300000;42.9000000;1947900
SBERP;60;20150112;110000;42.4600000;43.3900000;41.6300000;42.7200000;7682400
SBERP;60;20150112;120000;42.7900000;43.2500000;42.7000000;43.1600000;3059200
SBERP;60;20150112;130000;43.1600000;43.2700000;42.6600000;42.8000000;1336600
SBERP;60;20150112;140000;42.8400000;42.9500000;42.4500000;42.8000000;1121300
SBERP;60;20150112;150000;42.8200000;42.9000000;42.6400000;42.6500000;492200
SBERP;60;20150112;160000;42.6500000;43.1800000;42.6000000;43.1400000;1409000
