<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SFIN;60;20151211;110000;587.0000000;587.0000000;570.1000000;572.3000000;60390
SFIN;60;20151211;120000;572.0000000;574.1000000;571.5000000;572.5000000;810
SFIN;60;20151211;130000;573.0000000;573.0000000;571.5000000;572.1000000;200
SFIN;60;20151211;140000;571.0000000;572.3000000;570.2000000;571.0000000;35130
SFIN;60;20151211;150000;572.3000000;572.9000000;570.2000000;570.9000000;230
SFIN;60;20151211;160000;571.0000000;573.9000000;571.0000000;573.0000000;200
SFIN;60;20151211;170000;573.0000000;573.0000000;570.0000000;570.0000000;120
SFIN;60;20151211;180000;570.0000000;570.0000000;570.0000000;570.0000000;0
SFIN;60;20151211;190000;571.0000000;571.0000000;570.0000000;570.0000000;90
SFIN;60;20151214;110000;571.0000000;571.0000000;560.0000000;560.0000000;60
SFIN;60;20151214;120000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151214;130000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151214;140000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151214;150000;567.0000000;572.0000000;567.0000000;572.0000000;60
SFIN;60;20151214;160000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151214;170000;572.0000000;574.0000000;572.0000000;574.0000000;250240
SFIN;60;20151214;180000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151214;190000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151215;110000;574.0000000;574.0000000;571.0000000;571.0000000;60
SFIN;60;20151215;120000;573.9000000;573.9000000;573.9000000;573.9000000;200000
SFIN;60;20151215;130000;571.0000000;571.0000000;571.0000000;571.0000000;0
SFIN;60;20151215;140000;571.0000000;571.0000000;571.0000000;571.0000000;10
SFIN;60;20151215;150000;570.0000000;570.0000000;570.0000000;570.0000000;0
SFIN;60;20151215;160000;570.0000000;570.0000000;570.0000000;570.0000000;10
SFIN;60;20151215;170000;569.0000000;569.0000000;569.0000000;569.0000000;0
SFIN;60;20151215;180000;569.0000000;569.0000000;569.0000000;569.0000000;0
SFIN;60;20151215;190000;569.5000000;569.5000000;569.0000000;569.0000000;20
SFIN;60;20151216;110000;573.9000000;573.9000000;573.9000000;573.9000000;180000
SFIN;60;20151216;120000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;130000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;140000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;150000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;160000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;170000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;180000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151216;190000;573.9000000;573.9000000;573.9000000;573.9000000;0
SFIN;60;20151217;110000;560.0000000;560.0000000;560.0000000;560.0000000;0
SFIN;60;20151217;120000;560.0000000;560.0000000;560.0000000;560.0000000;0
SFIN;60;20151217;130000;560.0000000;560.0000000;560.0000000;560.0000000;10
SFIN;60;20151217;140000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151217;150000;572.0000000;572.0000000;572.0000000;572.0000000;10
SFIN;60;20151217;160000;570.0000000;570.0000000;570.0000000;570.0000000;0
SFIN;60;20151217;170000;570.0000000;570.0000000;570.0000000;570.0000000;10
SFIN;60;20151217;180000;571.9000000;571.9000000;571.9000000;571.9000000;154740
SFIN;60;20151217;190000;571.9000000;571.9000000;571.9000000;571.9000000;0
SFIN;60;20151218;110000;559.9000000;560.0000000;555.5000000;560.0000000;1090
SFIN;60;20151218;120000;560.1000000;560.6000000;560.1000000;560.6000000;60
SFIN;60;20151218;130000;560.7000000;561.3000000;560.7000000;561.3000000;200
SFIN;60;20151218;140000;578.0000000;578.0000000;578.0000000;578.0000000;0
SFIN;60;20151218;150000;562.0000000;578.0000000;562.0000000;578.0000000;479770
SFIN;60;20151218;160000;563.5000000;563.5000000;563.5000000;563.5000000;0
SFIN;60;20151218;170000;563.5000000;563.5000000;563.5000000;563.5000000;20
SFIN;60;20151218;180000;564.0000000;573.4000000;564.0000000;573.4000000;570
SFIN;60;20151218;190000;573.4000000;573.4000000;573.4000000;573.4000000;0
SFIN;60;20151221;110000;559.5000000;559.5000000;559.5000000;559.5000000;10
SFIN;60;20151221;120000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151221;130000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151221;140000;574.0000000;574.2000000;574.0000000;574.2000000;265390
SFIN;60;20151221;150000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151221;160000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151221;170000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151221;180000;574.2000000;574.2000000;574.2000000;574.2000000;134080
SFIN;60;20151221;190000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151222;110000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;120000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;130000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;140000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;150000;572.0000000;572.0000000;572.0000000;572.0000000;10
SFIN;60;20151222;160000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;170000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;180000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151222;190000;572.0000000;572.0000000;572.0000000;572.0000000;0
SFIN;60;20151223;110000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151223;120000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151223;130000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151223;140000;574.0000000;574.0000000;574.0000000;574.0000000;0
SFIN;60;20151223;150000;574.0000000;574.0000000;574.0000000;574.0000000;1500
SFIN;60;20151223;160000;574.1000000;574.1000000;573.0000000;573.0000000;1510
SFIN;60;20151223;170000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151223;180000;574.2000000;574.2000000;574.2000000;574.2000000;1500
SFIN;60;20151223;190000;574.2000000;574.2000000;574.2000000;574.2000000;0
SFIN;60;20151224;110000;575.5000000;575.5000000;575.5000000;575.5000000;0
SFIN;60;20151224;120000;575.5000000;575.5000000;575.5000000;575.5000000;0
SFIN;60;20151224;130000;575.5000000;575.5000000;575.5000000;575.5000000;346210
SFIN;60;20151224;140000;575.8000000;575.8000000;575.8000000;575.8000000;0
SFIN;60;20151224;150000;574.0000000;575.8000000;574.0000000;575.8000000;357650
SFIN;60;20151224;160000;574.5000000;574.5000000;574.5000000;574.5000000;87720
SFIN;60;20151224;170000;574.5000000;574.5000000;574.5000000;574.5000000;0
SFIN;60;20151224;180000;574.5000000;574.5000000;574.5000000;574.5000000;0
SFIN;60;20151224;190000;574.5000000;574.5000000;574.5000000;574.5000000;0
SFIN;60;20151225;110000;574.7000000;574.7000000;574.7000000;574.7000000;0
SFIN;60;20151225;120000;574.7000000;574.7000000;574.7000000;574.7000000;1500
SFIN;60;20151225;130000;573.1000000;576.0000000;573.1000000;576.0000000;266140
SFIN;60;20151225;140000;575.5000000;575.5000000;574.8000000;575.5000000;901500
