<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TCSG;60;20191028;110000;1188.6000000;1212.0000000;1188.6000000;1195.0000000;73076
TCSG;60;20191028;120000;1195.0000000;1197.8000000;1193.2000000;1197.4000000;14587
TCSG;60;20191028;130000;1197.2000000;1209.8000000;1197.0000000;1209.6000000;21273
TCSG;60;20191028;140000;1209.6000000;1211.0000000;1201.4000000;1208.2000000;19162
TCSG;60;20191028;150000;1209.6000000;1209.6000000;1202.6000000;1205.8000000;17297
TCSG;60;20191028;160000;1206.0000000;1206.0000000;1199.2000000;1203.4000000;6623
TCSG;60;20191028;170000;1203.4000000;1203.4000000;1197.0000000;1198.4000000;10595
TCSG;60;20191028;180000;1198.4000000;1198.4000000;1195.0000000;1197.0000000;10465
TCSG;60;20191028;190000;1197.0000000;1206.0000000;1194.0000000;1206.0000000;21688
TCSG;60;20191029;110000;1202.0000000;1207.6000000;1200.2000000;1207.0000000;14220
TCSG;60;20191029;120000;1207.2000000;1207.2000000;1202.0000000;1203.8000000;4630
TCSG;60;20191029;130000;1203.8000000;1206.2000000;1201.8000000;1203.6000000;3185
TCSG;60;20191029;140000;1205.0000000;1207.0000000;1203.2000000;1207.0000000;689
TCSG;60;20191029;150000;1206.8000000;1217.8000000;1206.0000000;1216.8000000;17309
TCSG;60;20191029;160000;1216.2000000;1217.6000000;1209.8000000;1213.0000000;2616
TCSG;60;20191029;170000;1213.8000000;1214.4000000;1213.2000000;1214.4000000;1006
TCSG;60;20191029;180000;1214.4000000;1226.0000000;1211.6000000;1225.0000000;17983
TCSG;60;20191029;190000;1225.0000000;1225.8000000;1219.8000000;1219.8000000;6743
TCSG;60;20191030;110000;1225.0000000;1227.0000000;1220.0000000;1223.4000000;5333
TCSG;60;20191030;120000;1223.4000000;1223.4000000;1214.0000000;1216.6000000;8329
TCSG;60;20191030;130000;1216.4000000;1217.0000000;1213.4000000;1217.0000000;5164
TCSG;60;20191030;140000;1217.0000000;1217.4000000;1215.0000000;1217.0000000;2804
TCSG;60;20191030;150000;1217.0000000;1217.0000000;1215.0000000;1216.8000000;1255
TCSG;60;20191030;160000;1216.8000000;1217.0000000;1216.0000000;1217.0000000;1504
TCSG;60;20191030;170000;1216.6000000;1216.6000000;1212.8000000;1215.4000000;5452
TCSG;60;20191030;180000;1215.4000000;1218.0000000;1213.2000000;1217.8000000;5053
TCSG;60;20191030;190000;1217.8000000;1217.8000000;1214.0000000;1217.0000000;1797
TCSG;60;20191031;110000;1221.4000000;1223.8000000;1212.0000000;1213.8000000;5511
TCSG;60;20191031;120000;1213.8000000;1216.2000000;1213.8000000;1213.8000000;1528
TCSG;60;20191031;130000;1215.2000000;1215.4000000;1211.2000000;1213.0000000;2111
TCSG;60;20191031;140000;1211.2000000;1214.6000000;1211.0000000;1213.4000000;638
TCSG;60;20191031;150000;1213.6000000;1215.8000000;1211.2000000;1214.6000000;644
TCSG;60;20191031;160000;1214.6000000;1215.2000000;1211.4000000;1215.2000000;1121
TCSG;60;20191031;170000;1215.2000000;1215.2000000;1210.2000000;1211.6000000;2617
TCSG;60;20191031;180000;1213.8000000;1216.0000000;1212.4000000;1214.6000000;993
TCSG;60;20191031;190000;1213.6000000;1217.0000000;1213.6000000;1216.0000000;4163
TCSG;60;20191101;110000;1218.4000000;1218.4000000;1213.8000000;1218.0000000;1589
TCSG;60;20191101;120000;1218.0000000;1218.4000000;1214.8000000;1218.4000000;5424
TCSG;60;20191101;130000;1216.6000000;1218.6000000;1215.2000000;1217.6000000;428
TCSG;60;20191101;140000;1217.6000000;1219.0000000;1215.2000000;1218.0000000;615
TCSG;60;20191101;150000;1218.8000000;1218.8000000;1215.2000000;1216.0000000;857
TCSG;60;20191101;160000;1216.8000000;1216.8000000;1212.6000000;1216.0000000;4503
TCSG;60;20191101;170000;1216.4000000;1217.0000000;1216.0000000;1217.0000000;381
TCSG;60;20191101;180000;1217.0000000;1218.6000000;1214.4000000;1216.4000000;743
TCSG;60;20191101;190000;1216.4000000;1216.6000000;1213.8000000;1214.0000000;2085
TCSG;60;20191105;110000;1217.8000000;1220.0000000;1212.0000000;1214.0000000;6946
TCSG;60;20191105;120000;1213.8000000;1213.8000000;1207.4000000;1211.6000000;10492
TCSG;60;20191105;130000;1211.2000000;1211.6000000;1200.0000000;1203.4000000;12459
TCSG;60;20191105;140000;1203.0000000;1203.4000000;1197.6000000;1200.0000000;10586
TCSG;60;20191105;150000;1200.4000000;1201.4000000;1197.6000000;1201.4000000;3238
TCSG;60;20191105;160000;1201.2000000;1202.0000000;1199.4000000;1202.0000000;2719
TCSG;60;20191105;170000;1201.8000000;1202.0000000;1200.4000000;1200.4000000;1084
TCSG;60;20191105;180000;1202.0000000;1202.0000000;1199.4000000;1199.4000000;12086
TCSG;60;20191105;190000;1199.4000000;1202.0000000;1197.4000000;1198.0000000;1737
TCSG;60;20191106;110000;1197.0000000;1202.2000000;1190.0000000;1201.0000000;4565
TCSG;60;20191106;120000;1201.0000000;1202.2000000;1200.0000000;1201.0000000;1516
TCSG;60;20191106;130000;1202.2000000;1202.2000000;1202.0000000;1202.2000000;318
TCSG;60;20191106;140000;1202.2000000;1206.4000000;1202.0000000;1206.4000000;5518
TCSG;60;20191106;150000;1206.4000000;1214.0000000;1206.0000000;1208.6000000;6808
TCSG;60;20191106;160000;1210.0000000;1212.4000000;1208.0000000;1211.4000000;901
TCSG;60;20191106;170000;1211.2000000;1211.4000000;1208.2000000;1208.8000000;192
TCSG;60;20191106;180000;1211.2000000;1212.4000000;1206.8000000;1210.0000000;1424
TCSG;60;20191106;190000;1211.8000000;1212.2000000;1208.0000000;1208.6000000;465
TCSG;60;20191107;110000;1207.4000000;1216.4000000;1201.2000000;1214.0000000;5431
TCSG;60;20191107;120000;1215.0000000;1217.0000000;1212.6000000;1216.8000000;8561
TCSG;60;20191107;130000;1216.8000000;1217.8000000;1215.0000000;1217.6000000;3262
TCSG;60;20191107;140000;1217.6000000;1217.8000000;1215.2000000;1217.6000000;5114
TCSG;60;20191107;150000;1217.6000000;1217.8000000;1215.4000000;1217.0000000;2024
TCSG;60;20191107;160000;1217.6000000;1217.8000000;1215.2000000;1217.4000000;1084
TCSG;60;20191107;170000;1217.4000000;1219.8000000;1215.8000000;1219.6000000;4732
TCSG;60;20191107;180000;1219.6000000;1225.2000000;1218.2000000;1225.0000000;5976
TCSG;60;20191107;190000;1224.8000000;1225.8000000;1223.0000000;1225.8000000;1876
TCSG;60;20191108;110000;1226.2000000;1227.0000000;1221.0000000;1225.8000000;2422
TCSG;60;20191108;120000;1226.0000000;1251.2000000;1222.8000000;1227.0000000;6726
TCSG;60;20191108;130000;1228.6000000;1229.0000000;1226.0000000;1229.0000000;634
TCSG;60;20191108;140000;1229.0000000;1229.0000000;1223.0000000;1225.0000000;1517
TCSG;60;20191108;150000;1223.8000000;1225.8000000;1221.6000000;1224.0000000;2580
TCSG;60;20191108;160000;1222.2000000;1226.0000000;1221.0000000;1223.8000000;266
TCSG;60;20191108;170000;1225.4000000;1226.6000000;1222.6000000;1225.6000000;971
TCSG;60;20191108;180000;1223.4000000;1225.2000000;1216.0000000;1220.0000000;4275
TCSG;60;20191108;190000;1220.4000000;1223.0000000;1218.4000000;1222.8000000;859
TCSG;60;20191111;110000;1229.8000000;1230.0000000;1216.2000000;1224.0000000;1678
TCSG;60;20191111;120000;1223.0000000;1224.6000000;1221.2000000;1223.2000000;991
TCSG;60;20191111;130000;1224.4000000;1224.6000000;1221.2000000;1221.2000000;1087
TCSG;60;20191111;140000;1223.6000000;1224.6000000;1221.4000000;1222.8000000;365
TCSG;60;20191111;150000;1224.2000000;1225.2000000;1222.0000000;1222.0000000;641
TCSG;60;20191111;160000;1224.0000000;1225.2000000;1222.2000000;1224.0000000;358
TCSG;60;20191111;170000;1224.0000000;1224.0000000;1222.6000000;1222.6000000;153
TCSG;60;20191111;180000;1222.6000000;1222.8000000;1222.0000000;1222.8000000;1245
TCSG;60;20191111;190000;1222.0000000;1222.0000000;1221.0000000;1222.0000000;576
TCSG;60;20191112;110000;1228.0000000;1228.0000000;1223.4000000;1225.0000000;354
TCSG;60;20191112;120000;1225.0000000;1226.2000000;1223.6000000;1226.2000000;3457
TCSG;60;20191112;130000;1226.2000000;1226.8000000;1225.4000000;1226.8000000;951
TCSG;60;20191112;140000;1226.8000000;1226.8000000;1225.8000000;1226.8000000;549
TCSG;60;20191112;150000;1225.8000000;1227.8000000;1225.6000000;1227.8000000;5282
TCSG;60;20191112;160000;1227.0000000;1230.0000000;1227.0000000;1230.0000000;1683
TCSG;60;20191112;170000;1230.0000000;1234.0000000;1230.0000000;1234.0000000;6270
TCSG;60;20191112;180000;1234.0000000;1242.0000000;1230.4000000;1234.4000000;6123
TCSG;60;20191112;190000;1234.0000000;1235.6000000;1231.4000000;1235.6000000;2724
TCSG;60;20191113;110000;1248.6000000;1248.6000000;1231.6000000;1234.4000000;5075
TCSG;60;20191113;120000;1234.4000000;1240.0000000;1234.4000000;1239.4000000;6723
TCSG;60;20191113;130000;1238.4000000;1240.6000000;1235.0000000;1240.2000000;9875
TCSG;60;20191113;140000;1240.6000000;1240.6000000;1237.2000000;1240.6000000;2047
TCSG;60;20191113;150000;1239.4000000;1241.2000000;1239.2000000;1241.2000000;1897
TCSG;60;20191113;160000;1241.4000000;1244.8000000;1240.6000000;1244.8000000;3771
TCSG;60;20191113;170000;1244.0000000;1244.2000000;1239.6000000;1243.0000000;2792
TCSG;60;20191113;180000;1243.0000000;1244.4000000;1240.2000000;1240.2000000;675
TCSG;60;20191113;190000;1243.0000000;1244.0000000;1239.4000000;1239.4000000;789
TCSG;60;20191114;110000;1248.6000000;1248.8000000;1235.2000000;1246.6000000;5633
TCSG;60;20191114;120000;1246.2000000;1260.4000000;1245.2000000;1259.6000000;28320
TCSG;60;20191114;130000;1259.8000000;1268.6000000;1258.4000000;1268.6000000;13179
TCSG;60;20191114;140000;1268.4000000;1274.0000000;1268.4000000;1273.2000000;9286
TCSG;60;20191114;150000;1272.4000000;1276.4000000;1271.6000000;1275.2000000;7536
TCSG;60;20191114;160000;1275.2000000;1275.2000000;1270.2000000;1273.2000000;2015
TCSG;60;20191114;170000;1273.2000000;1273.6000000;1265.6000000;1268.8000000;7563
TCSG;60;20191114;180000;1266.2000000;1270.2000000;1256.4000000;1258.8000000;10150
TCSG;60;20191114;190000;1260.6000000;1261.2000000;1257.0000000;1261.2000000;918
TCSG;60;20191115;110000;1276.0000000;1312.4000000;1258.8000000;1261.4000000;7847
TCSG;60;20191115;120000;1261.4000000;1261.4000000;1258.2000000;1261.4000000;2289
TCSG;60;20191115;130000;1261.0000000;1261.4000000;1258.6000000;1258.6000000;1041
TCSG;60;20191115;140000;1259.6000000;1259.6000000;1256.0000000;1256.0000000;1870
TCSG;60;20191115;150000;1256.2000000;1258.0000000;1255.2000000;1256.8000000;3579
TCSG;60;20191115;160000;1255.4000000;1258.2000000;1254.6000000;1255.2000000;3026
TCSG;60;20191115;170000;1255.0000000;1255.6000000;1251.8000000;1252.0000000;6437
TCSG;60;20191115;180000;1253.6000000;1254.4000000;1250.2000000;1251.4000000;4412
TCSG;60;20191115;190000;1251.4000000;1251.6000000;1249.2000000;1250.0000000;3211
TCSG;60;20191118;110000;1274.8000000;1275.8000000;1250.2000000;1262.4000000;15230
TCSG;60;20191118;120000;1262.8000000;1262.8000000;1260.4000000;1262.8000000;2820
TCSG;60;20191118;130000;1262.8000000;1263.6000000;1257.8000000;1260.0000000;4449
TCSG;60;20191118;140000;1260.2000000;1260.4000000;1258.6000000;1260.4000000;1468
TCSG;60;20191118;150000;1260.4000000;1260.4000000;1255.0000000;1256.6000000;5491
TCSG;60;20191118;160000;1259.2000000;1259.2000000;1254.4000000;1254.8000000;7386
TCSG;60;20191118;170000;1254.8000000;1256.0000000;1251.4000000;1255.0000000;959
TCSG;60;20191118;180000;1255.0000000;1255.0000000;1250.6000000;1252.8000000;1759
TCSG;60;20191118;190000;1251.8000000;1255.0000000;1251.6000000;1255.0000000;4363
TCSG;60;20191119;110000;1273.0000000;1273.8000000;1247.8000000;1258.4000000;6153
TCSG;60;20191119;120000;1258.0000000;1263.2000000;1257.4000000;1263.2000000;8290
TCSG;60;20191119;130000;1263.0000000;1263.2000000;1249.2000000;1253.0000000;30772
TCSG;60;20191119;140000;1253.0000000;1253.6000000;1252.0000000;1253.6000000;1498
TCSG;60;20191119;150000;1253.6000000;1253.8000000;1245.0000000;1250.2000000;20103
TCSG;60;20191119;160000;1250.2000000;1252.4000000;1247.0000000;1249.2000000;26511
TCSG;60;20191119;170000;1249.2000000;1250.2000000;1245.6000000;1248.2000000;15819
TCSG;60;20191119;180000;1250.0000000;1251.2000000;1241.8000000;1243.2000000;12033
TCSG;60;20191119;190000;1243.4000000;1243.8000000;1235.6000000;1241.0000000;7341
TCSG;60;20191120;110000;1242.0000000;1252.0000000;1241.2000000;1246.8000000;16830
TCSG;60;20191120;120000;1246.6000000;1247.8000000;1242.2000000;1246.0000000;7858
TCSG;60;20191120;130000;1246.0000000;1246.6000000;1240.0000000;1241.0000000;12643
TCSG;60;20191120;140000;1241.6000000;1241.6000000;1223.8000000;1227.8000000;17085
TCSG;60;20191120;150000;1229.2000000;1233.6000000;1225.2000000;1226.4000000;9140
TCSG;60;20191120;160000;1226.0000000;1227.6000000;1217.6000000;1217.8000000;23883
TCSG;60;20191120;170000;1217.8000000;1219.4000000;1216.0000000;1217.2000000;15211
TCSG;60;20191120;180000;1218.0000000;1219.6000000;1215.2000000;1215.6000000;5744
TCSG;60;20191120;190000;1215.8000000;1218.0000000;1215.0000000;1215.8000000;17625
TCSG;60;20191121;110000;1217.0000000;1219.8000000;1211.8000000;1216.2000000;9419
TCSG;60;20191121;120000;1217.4000000;1221.4000000;1215.8000000;1216.8000000;9004
TCSG;60;20191121;130000;1217.0000000;1221.2000000;1217.0000000;1217.0000000;6056
TCSG;60;20191121;140000;1217.2000000;1218.6000000;1215.0000000;1218.6000000;9206
TCSG;60;20191121;150000;1218.6000000;1218.8000000;1206.0000000;1209.8000000;12874
TCSG;60;20191121;160000;1209.8000000;1211.4000000;1207.4000000;1210.2000000;3451
TCSG;60;20191121;170000;1210.0000000;1216.4000000;1210.0000000;1216.4000000;4227
TCSG;60;20191121;180000;1216.4000000;1218.0000000;1214.2000000;1218.0000000;6287
TCSG;60;20191121;190000;1217.0000000;1219.2000000;1210.8000000;1210.8000000;2896
TCSG;60;20191122;110000;1219.4000000;1219.4000000;1214.8000000;1217.8000000;2252
TCSG;60;20191122;120000;1217.8000000;1219.6000000;1214.2000000;1215.6000000;5254
TCSG;60;20191122;130000;1216.0000000;1216.4000000;1210.0000000;1211.8000000;11845
TCSG;60;20191122;140000;1211.8000000;1211.8000000;1205.0000000;1205.0000000;12064
TCSG;60;20191122;150000;1206.6000000;1207.0000000;1203.2000000;1204.2000000;2620
TCSG;60;20191122;160000;1204.6000000;1207.8000000;1197.0000000;1199.6000000;24277
TCSG;60;20191122;170000;1199.6000000;1201.0000000;1196.4000000;1199.0000000;6830
TCSG;60;20191122;180000;1198.2000000;1200.6000000;1196.4000000;1199.6000000;6788
TCSG;60;20191122;190000;1199.6000000;1202.0000000;1199.0000000;1202.0000000;8287
TCSG;60;20191125;110000;1209.2000000;1220.2000000;1202.0000000;1207.0000000;13766
TCSG;60;20191125;120000;1207.2000000;1209.0000000;1204.2000000;1208.0000000;5928
TCSG;60;20191125;130000;1208.2000000;1208.8000000;1206.6000000;1207.0000000;2580
TCSG;60;20191125;140000;1208.0000000;1208.0000000;1207.0000000;1208.0000000;997
