<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20150101;010000;60.2449000;61.5450000;59.2343000;59.2343000;13
USDRUB;60;20150101;020000;59.2343000;60.7450000;59.1927000;59.1927000;13
USDRUB;60;20150101;030000;59.1927000;59.2332000;59.1927000;59.2332000;12
USDRUB;60;20150101;040000;59.2332000;59.2332000;59.2332000;59.2332000;12
USDRUB;60;20150101;050000;59.2332000;59.4288000;59.2332000;59.4288000;12
USDRUB;60;20150101;060000;59.4288000;59.9887000;59.4288000;59.9887000;12
USDRUB;60;20150101;070000;59.9887000;59.9999000;59.9887000;59.9999000;12
USDRUB;60;20150101;080000;59.9999000;60.8699000;59.9999000;60.8699000;12
USDRUB;60;20150101;090000;60.7450000;60.7450000;60.7450000;60.7450000;12
USDRUB;60;20150101;100000;60.7450000;60.7450000;60.7450000;60.7450000;5
USDRUB;60;20150102;010000;58.0670000;58.0670000;58.0670000;58.0670000;4
USDRUB;60;20150102;020000;58.0670000;58.0670000;58.0670000;58.0670000;12
USDRUB;60;20150102;030000;58.0670000;58.0670000;56.9930000;56.9930000;14
USDRUB;60;20150102;040000;58.0670000;58.0670000;56.9956000;58.0670000;24
USDRUB;60;20150102;050000;58.0445000;58.0670000;56.9829000;58.0670000;24
USDRUB;60;20150102;060000;58.0670000;58.0670000;57.0001000;58.0206000;24
USDRUB;60;20150102;070000;58.0670000;58.0869000;56.9936000;58.0461000;24
USDRUB;60;20150102;080000;58.0670000;58.0670000;56.9514000;57.0024000;24
USDRUB;60;20150102;090000;58.0670000;58.0764000;56.9815000;58.0670000;24
USDRUB;60;20150102;100000;58.0670000;58.0670000;56.9874000;57.0150000;24
USDRUB;60;20150102;110000;58.0670000;58.0670000;56.9914000;58.0190000;24
USDRUB;60;20150102;120000;58.0190000;58.0190000;56.9838000;58.0084000;24
USDRUB;60;20150102;160000;59.5000000;60.7475000;57.6500000;60.7325000;213
USDRUB;60;20150102;170000;60.7450000;60.7450000;57.6525000;58.6245000;63
USDRUB;60;20150102;180000;58.8700000;59.5047000;57.7250000;57.9888000;56
USDRUB;60;20150102;190000;58.9450000;59.2500000;56.9000000;58.2495000;165
USDRUB;60;20150102;200000;58.4950000;59.2750000;57.3611000;57.7750000;93
USDRUB;60;20150102;210000;58.5199000;59.1500000;57.2541000;57.6980000;754
USDRUB;60;20150102;220000;58.5266000;59.6969000;57.2379000;58.8248000;363
USDRUB;60;20150102;230000;58.8198000;59.2495000;57.5358000;58.9245000;87
USDRUB;60;20150103;000000;59.1745000;59.4245000;57.7750000;58.7250000;38
USDRUB;60;20150103;010000;59.2645000;59.2645000;57.5500000;59.2481000;34
USDRUB;60;20150103;020000;59.2504000;59.2511000;57.3000000;58.7440000;36
USDRUB;60;20150103;030000;58.7449000;58.7550000;58.5300000;58.5300000;26
USDRUB;60;20150103;040000;58.7518000;58.7518000;58.5300000;58.7470000;20
USDRUB;60;20150103;050000;58.7470000;59.1700000;58.2250000;58.8179000;13
USDRUB;60;20150103;060000;58.8179000;58.8179000;58.8179000;58.8179000;10
USDRUB;60;20150105;060000;58.5300000;58.5300000;58.5300000;58.5300000;8
USDRUB;60;20150105;070000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;080000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;090000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;100000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;110000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;120000;58.5300000;58.5300000;58.5300000;58.5300000;12
USDRUB;60;20150105;130000;58.7519000;58.7519000;58.7408000;58.7450000;6
USDRUB;60;20150105;140000;58.7480000;59.3840000;56.6874000;57.9993000;2170
USDRUB;60;20150105;150000;57.9993000;58.9369000;57.5569000;57.9003000;6237
USDRUB;60;20150105;160000;57.9002000;58.5455000;57.6390000;57.9932000;20158
USDRUB;60;20150105;170000;58.1781000;58.9445000;57.7483000;58.7471000;15564
USDRUB;60;20150105;180000;58.6446000;58.8417000;57.9103000;58.4009000;14805
USDRUB;60;20150105;190000;58.4663000;59.6535000;58.2047000;59.1432000;19061
USDRUB;60;20150105;200000;59.1335000;59.5845000;58.6135000;59.3414000;19074
USDRUB;60;20150105;210000;59.3177000;59.8694000;58.9537000;59.5787000;8412
USDRUB;60;20150105;220000;59.5569000;59.6665000;58.9506000;59.5515000;6436
USDRUB;60;20150105;230000;59.5515000;60.4445000;59.2987000;60.0449000;3478
USDRUB;60;20150106;000000;60.0449000;60.6542000;59.1819000;59.8742000;3666
USDRUB;60;20150106;010000;60.3645000;62.7320000;59.1906000;60.3041000;4847
USDRUB;60;20150106;020000;60.9392000;61.1659000;59.2649000;60.1174000;3594
USDRUB;60;20150106;030000;61.1154000;62.4800000;59.2986000;60.1817000;2950
USDRUB;60;20150106;040000;61.7597000;61.7597000;60.1364000;61.0732000;142
USDRUB;60;20150106;050000;60.7140000;60.7140000;60.4320000;60.4320000;12
USDRUB;60;20150106;060000;60.4320000;61.7116000;60.1400000;60.1400000;115
USDRUB;60;20150106;070000;61.6155000;61.6155000;60.1400000;60.1400000;304
USDRUB;60;20150106;080000;61.6155000;61.6155000;59.9741000;60.5632000;309
USDRUB;60;20150106;090000;61.3146000;61.3147000;60.5621000;60.5633000;311
USDRUB;60;20150106;100000;61.3146000;61.3146000;59.6664000;59.9991000;299
USDRUB;60;20150106;110000;60.5200000;60.5200000;59.9991000;59.9991000;305
USDRUB;60;20150106;120000;59.9991000;60.5200000;59.9991000;59.9991000;310
USDRUB;60;20150106;130000;59.9991000;60.5200000;59.7750000;60.0054000;259
USDRUB;60;20150106;140000;60.0054000;61.8130000;59.1606000;61.3989000;24586
USDRUB;60;20150106;150000;61.3028000;62.7925000;61.0627000;62.4156000;20697
USDRUB;60;20150106;160000;62.4377000;63.6685000;61.9372000;63.5358000;21453
USDRUB;60;20150106;170000;63.3564000;64.2241000;62.7297000;63.4591000;17161
USDRUB;60;20150106;180000;63.6555000;63.7345000;61.5473000;62.5248000;8524
USDRUB;60;20150106;190000;62.5663000;63.2495000;61.5435000;62.6095000;10874
USDRUB;60;20150106;200000;62.4866000;63.3845000;62.3900000;62.9564000;16549
USDRUB;60;20150106;210000;62.9570000;63.2383000;62.1075000;62.9937000;12488
USDRUB;60;20150106;220000;63.0309000;63.2345000;61.3709000;61.4164000;9120
USDRUB;60;20150106;230000;61.4164000;63.2845000;61.3030000;62.2209000;3212
USDRUB;60;20150107;000000;62.4115000;63.2658000;61.7165000;63.0205000;2198
USDRUB;60;20150107;010000;63.0270000;63.3638000;62.7303000;63.1114000;649
USDRUB;60;20150107;020000;63.3550000;63.6913000;62.3116000;62.9320000;3094
USDRUB;60;20150107;030000;63.2642000;63.4240000;62.1150000;62.3742000;2647
USDRUB;60;20150107;040000;63.1504000;63.3370000;61.6356000;61.6356000;307
USDRUB;60;20150107;050000;63.1700000;63.1700000;61.6356000;62.4074000;177
USDRUB;60;20150107;060000;61.8229000;62.9202000;61.8229000;62.3214000;28
USDRUB;60;20150107;090000;63.1615000;63.1615000;63.1615000;63.1615000;11
USDRUB;60;20150107;100000;63.1615000;63.1650000;63.1615000;63.1650000;12
USDRUB;60;20150107;110000;63.1650000;63.1650000;63.1650000;63.1650000;12
USDRUB;60;20150107;120000;63.1675000;63.7490000;63.1675000;63.7490000;20
USDRUB;60;20150107;130000;63.7458000;63.7482000;61.6267000;62.7577000;144
USDRUB;60;20150107;140000;63.2223000;63.8262000;62.9459000;63.5903000;484
USDRUB;60;20150107;150000;63.8200000;63.8200000;62.8102000;63.3275000;488
USDRUB;60;20150107;160000;63.5450000;63.7944000;62.6250000;63.0595000;777
USDRUB;60;20150107;170000;62.8550000;63.3595000;61.6923000;62.0741000;930
USDRUB;60;20150107;180000;62.5449000;63.4425000;61.8749000;62.9036000;935
USDRUB;60;20150107;190000;63.0841000;63.8875000;62.5663000;63.4954000;718
USDRUB;60;20150107;200000;63.6999000;63.6999000;62.4988000;62.9500000;701
USDRUB;60;20150107;210000;63.1878000;63.5038000;62.3550000;62.8227000;918
USDRUB;60;20150107;220000;62.8305000;63.4147000;61.9578000;62.5814000;872
USDRUB;60;20150107;230000;62.7983000;63.1600000;61.9550000;62.5591000;512
USDRUB;60;20150108;000000;62.5591000;63.1600000;62.2050000;62.4738000;348
USDRUB;60;20150108;010000;62.4738000;62.9575000;62.0383000;62.0383000;333
USDRUB;60;20150108;020000;62.5963000;62.9350000;62.0383000;62.1046000;318
USDRUB;60;20150108;030000;62.6700000;62.7665000;62.0546000;62.0547000;315
USDRUB;60;20150108;040000;62.6700000;62.8720000;61.4141000;61.4141000;309
USDRUB;60;20150108;050000;62.7220000;62.8448000;61.3160000;62.5150000;289
USDRUB;60;20150108;060000;62.7114000;62.8600000;62.6700000;62.7755000;24
USDRUB;60;20150108;070000;62.7900000;62.8170000;62.6700000;62.7919000;24
USDRUB;60;20150108;080000;62.7966000;62.8095000;62.7666000;62.7966000;24
USDRUB;60;20150108;090000;62.7966000;62.7987000;62.6700000;62.6700000;24
USDRUB;60;20150108;100000;62.7847000;62.8800000;62.6700000;62.7859000;24
USDRUB;60;20150108;110000;62.8428000;62.8800000;58.9750000;59.7900000;108
USDRUB;60;20150108;120000;62.8453000;62.8800000;61.2700000;61.2850000;26
USDRUB;60;20150108;130000;61.2824000;62.8950000;60.2500000;61.2300000;37
USDRUB;60;20150108;140000;61.7450000;62.7578000;59.3753000;61.8929000;33014
USDRUB;60;20150108;150000;61.8929000;62.3864000;58.8390000;60.9338000;29128
USDRUB;60;20150108;160000;61.1401000;62.1595000;58.8042000;61.3960000;26566
