<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;60;20100111;110000;0.0725000;0.0742000;0.0724000;0.0742000;9758384000
VTBR;60;20100111;120000;0.0742000;0.0762000;0.0740000;0.0755000;12132997000
VTBR;60;20100111;130000;0.0756000;0.0760000;0.0751000;0.0757000;4970778000
VTBR;60;20100111;140000;0.0758000;0.0761000;0.0746000;0.0748000;5873938000
VTBR;60;20100111;150000;0.0748000;0.0750000;0.0734000;0.0737000;11488573000
VTBR;60;20100111;160000;0.0737000;0.0738000;0.0732000;0.0735000;9413515000
VTBR;60;20100111;170000;0.0735000;0.0736000;0.0732000;0.0734000;4697189000
VTBR;60;20100111;180000;0.0734000;0.0738000;0.0724000;0.0725000;10764731000
VTBR;60;20100111;190000;0.0724000;0.0728000;0.0721000;0.0726000;6720201000
VTBR;60;20100112;110000;0.0726000;0.0729000;0.0719000;0.0720000;3765820000
VTBR;60;20100112;120000;0.0720000;0.0723000;0.0716000;0.0720000;5450279000
VTBR;60;20100112;130000;0.0720000;0.0737000;0.0718000;0.0734000;9011527000
VTBR;60;20100112;140000;0.0734000;0.0737000;0.0731000;0.0733000;3318365000
VTBR;60;20100112;150000;0.0733000;0.0734000;0.0724000;0.0727000;4647059000
VTBR;60;20100112;160000;0.0728000;0.0731000;0.0725000;0.0727000;1916360000
VTBR;60;20100112;170000;0.0727000;0.0729000;0.0725000;0.0727000;2325099000
VTBR;60;20100112;180000;0.0727000;0.0729000;0.0724000;0.0728000;2170548000
VTBR;60;20100112;190000;0.0729000;0.0730000;0.0725000;0.0727000;1959783000
VTBR;60;20100113;110000;0.0722000;0.0728000;0.0718000;0.0723000;4824191000
VTBR;60;20100113;120000;0.0722000;0.0730000;0.0722000;0.0728000;5899398000
VTBR;60;20100113;130000;0.0728000;0.0734000;0.0728000;0.0730000;3228494000
VTBR;60;20100113;140000;0.0731000;0.0732000;0.0729000;0.0730000;1025006000
VTBR;60;20100113;150000;0.0731000;0.0736000;0.0730000;0.0736000;2988735000
VTBR;60;20100113;160000;0.0736000;0.0745000;0.0735000;0.0745000;7773687000
VTBR;60;20100113;170000;0.0745000;0.0751000;0.0742000;0.0747000;7689126000
VTBR;60;20100113;180000;0.0747000;0.0748000;0.0743000;0.0745000;4741064000
